"연령별",2021
"연령별",기대여명(전체) (년)
"0",83.61393
"1",82.81327
"5",78.8493
"10",73.87346
"15",68.90847
"20",63.98158
"25",59.09127
"30",54.22028
"35",49.36447
"40",44.54216
"45",39.76756
"50",35.07251
"55",30.46798
"60",25.96719
"65",21.5869
"70",17.38391
"75",13.4148
"80",9.88754
"85",7.04697
"90",4.904
"95",3.39064
"100+",2.38396
